species,taxa,taxa_fine,sp_ncbi,sp_given.ncbi
Scabiosa columbaria,Plant,Caprifoliaceae,Scabiosa columbaria,eq
Scathophaga stercoraria,Insect,Insecta,Scathophaga stercoraria,eq
Schizachyrium scoparium,Plant,Poaceae,Schizachyrium scoparium,eq
Sciurus carolinensis pennsylvanicus,Mammal,Mammalia,Neosciurus carolinensis,not_eq
Secale cereale,Plant,Poaceae,Secale cereale,eq
Seiurus aurocapilla,Bird,Aves,Seiurus aurocapilla,eq
Senecio inaequidens,Plant,Asteraceae,Senecio inaequidens,eq
Senecio jacobaea,Plant,Asteraceae,Jacobaea vulgaris,not_eq
Senecio pterophorus,Plant,Asteraceae,Senecio pterophorus,eq
Senecio squalidus,Plant,Asteraceae,Senecio squalidus,eq
Senecio sylvaticus,Plant,Asteraceae,Senecio sylvaticus,eq
Senecio vulgaris,Plant,Asteraceae,Senecio vulgaris,eq
Serinus citrinella,Bird,Aves,Serinus citrinella,eq
Serinus serinus,Bird,Aves,Serinus serinus,eq
Setophaga americana,Bird,Aves,Setophaga americana,eq
Setophaga caerulescens,Bird,Aves,Setophaga caerulescens,eq
Setophaga castanea,Bird,Aves,Setophaga castanea,eq
Setophaga citrina,Bird,Aves,Setophaga citrina,eq
Setophaga coronata,Bird,Aves,Setophaga coronata,eq
Setophaga fusca,Bird,Aves,Setophaga fusca,eq
Setophaga petechia,Bird,Aves,Setophaga petechia,eq
Setophaga ruticilla,Bird,Aves,Setophaga ruticilla,eq
Setophaga striata,Bird,Aves,Setophaga striata,eq
Setophaga tigrina,Bird,Aves,Setophaga tigrina,eq
Setophaga virens,Bird,Aves,Setophaga virens,eq
Sialia sialis,Bird,Aves,Sialia sialis,eq
Silene latifolia,Plant,Caryophyllaceae,Silene latifolia,eq
Sitta carolinensis,Bird,Aves,Sitta carolinensis,eq
Sitta europaea,Bird,Aves,Sitta europaea,eq
Solanum dulcamara,Plant,Solanaceae,Solanum dulcamara,eq
Solidago altissima,Plant,Asteraceae,Solidago canadensis var. scabra,not_eq
Solidago canadensis,Plant,Asteraceae,Solidago canadensis var. canadensis,not_eq
Solidago gigantea,Plant,Asteraceae,Solidago gigantea,eq
Spartina alterniflora,Plant,Poaceae,Sporobolus alterniflorus,not_eq
Spilogale gracilis,Mammal,Mammalia,Spilogale gracilis,eq
