species,common,taxa,phylum,class,order,sp_ncbi,sp_given.ncbi
Daphnia retrocurva,,Arthropod,Arthropoda,Branchiopoda,Diplostraca,Daphnia retrocurva,eq
Datura stramonium,,Plant,Streptophyta,Magnoliopsida,Solanales,Datura stramonium,eq
Delichon urbica,,Bird,Chordata,Aves,Passeriformes,Delichon urbicum,not_eq
Deschampsia cespitosa,,Plant,Streptophyta,Magnoliopsida,Poales,Deschampsia cespitosa,eq
Diaptomus sanguineus,,Arthropod,Arthropoda,Hexanauplia,Calanoida,Onychodiaptomus sanguineus,not_eq
Digitalis purpurea,,Plant,Streptophyta,Magnoliopsida,Lamiales,Digitalis purpurea,eq
Dipodomys merriami merriami,,Mammal,Chordata,Mammalia,Rodentia,Dipodomys merriami merriami,eq
Dreissena polymorpha,,Mollusc,Mollusca,Bivalvia,Myida,Dreissena polymorpha,eq
Drosophila subobscura,,Arthropod,Arthropoda,Insecta,Diptera,Drosophila subobscura,eq
Dumetella carolinensis,,Bird,Chordata,Aves,Passeriformes,Dumetella carolinensis,eq
Echium vulgare,,Plant,Streptophyta,Magnoliopsida,Boraginales,Echium vulgare,eq
Elymus multisetus,,Plant,Streptophyta,Magnoliopsida,Poales,Elymus multisetus,eq
Emberiza cia,,Bird,Chordata,Aves,Passeriformes,Emberiza cia,eq
Emberiza hortulana,,Bird,Chordata,Aves,Passeriformes,Emberiza hortulana,eq
Emberiza schoeniclus,,Bird,Chordata,Aves,Passeriformes,Emberiza schoeniclus,eq
Empidonax alnorum/traillii,,Bird,Chordata,Aves,Passeriformes,Empidonax alnorum/traillii,eq
Empidonax minimus,,Bird,Chordata,Aves,Passeriformes,Empidonax minimus,eq
Empidonax virescens,,Bird,Chordata,Aves,Passeriformes,Empidonax virescens,eq
Erithacus rubecula,,Bird,Chordata,Aves,Passeriformes,Erithacus rubecula,eq
Eschscholzia californica,,Plant,Streptophyta,Magnoliopsida,Ranunculales,Eschscholzia californica,eq
Esox lucius,,Fish,Chordata,Actinopteri,Esociformes,Esox lucius,eq
Festuca idahoensis,,Plant,Streptophyta,Magnoliopsida,Poales,Festuca idahoensis,eq
Festuca ovina,,Plant,Streptophyta,Magnoliopsida,Poales,Festuca ovina,eq
Festuca rubra,,Plant,Streptophyta,Magnoliopsida,Poales,Festuca rubra,eq
Festuca rubra ssp. rubra,,Plant,Streptophyta,Magnoliopsida,Poales,Festuca rubra subsp. rubra,not_eq
Ficedula albicollis,,Bird,Chordata,Aves,Passeriformes,Ficedula albicollis,eq
Ficedula hypoleuca,Pied Flycatchers,Bird,Chordata,Aves,Passeriformes,Ficedula hypoleuca,eq
Fringilla coelebs,,Bird,Chordata,Aves,Passeriformes,Fringilla coelebs,eq
Fringilla montifringilla,,Bird,Chordata,Aves,Passeriformes,Fringilla montifringilla,eq
Gadus morhua,,Fish,Chordata,Actinopteri,Gadiformes,Gadus morhua,eq
Galium aparine,,Plant,Streptophyta,Magnoliopsida,Gentianales,Galium aparine,eq
Gambusia affinis,,Fish,Chordata,Actinopteri,Cyprinodontiformes,Gambusia affinis,eq
Gambusia holbrooki,,Fish,Chordata,Actinopteri,Cyprinodontiformes,Gambusia holbrooki,eq
Garrulus glandarius,,Bird,Chordata,Aves,Passeriformes,Garrulus glandarius,eq
Gasterosteus aculeatus,Threespine stickleback,Fish,Chordata,Actinopteri,Perciformes,Gasterosteus aculeatus,eq
Geospiza fortis,,Bird,Chordata,Aves,Passeriformes,Geospiza fortis,eq
Geospiza scandens,,Bird,Chordata,Aves,Passeriformes,Geospiza scandens,eq
Geothlypis formosa,,Bird,Chordata,Aves,Passeriformes,Geothlypis formosa,eq
Geothlypis trichas,,Bird,Chordata,Aves,Passeriformes,Geothlypis trichas,eq
Geranium carolinianum,,Plant,Streptophyta,Magnoliopsida,Geraniales,Geranium carolinianum,eq
Glechoma hederacea,,Plant,Streptophyta,Magnoliopsida,Lamiales,Glechoma hederacea,eq
Glyptocephalus cynoglossus,,Fish,Chordata,Actinopteri,Pleuronectiformes,Glyptocephalus cynoglossus,eq
Gulo gulo,,Mammal,Chordata,Mammalia,Carnivora,Gulo gulo,eq
Gymnogobius isaza,,Fish,Chordata,Actinopteri,Gobiiformes,Gymnogobius isaza,eq
Herpestes javanicus,,Mammal,Chordata,Mammalia,Carnivora,Urva javanica,not_eq
Hesperostipa comata,,Plant,Streptophyta,Magnoliopsida,Poales,Hesperostipa comata,eq
Hippoglossoides platessoides,,Fish,Chordata,Actinopteri,Pleuronectiformes,Hippoglossoides platessoides,eq
Hippoglossus hippoglossus,,Fish,Chordata,Actinopteri,Pleuronectiformes,Hippoglossus hippoglossus,eq
Hippolais icterina,,Bird,Chordata,Aves,Passeriformes,Hippolais icterina,eq
Hirundo rustica,,Bird,Chordata,Aves,Passeriformes,Hirundo rustica,eq
Holcus lanatus,,Plant,Streptophyta,Magnoliopsida,Poales,Holcus lanatus,eq
Hydromantes strinatii,,Amphibian,Chordata,Amphibia,Caudata,Speleomantes strinatii,not_eq
Hylocichla mustelina,,Bird,Chordata,Aves,Passeriformes,Hylocichla mustelina,eq
Hypericum perforatum,,Plant,Streptophyta,Magnoliopsida,Malpighiales,Hypericum perforatum,eq
Hypochaeris radicata,,Plant,Streptophyta,Magnoliopsida,Asterales,Hypochaeris radicata,eq
Icteria virens,,Bird,Chordata,Aves,Passeriformes,Icteria virens,eq
Icterus galbula,,Bird,Chordata,Aves,Passeriformes,Icterus galbula,eq
Impatiens glandulifera,,Plant,Streptophyta,Magnoliopsida,Ericales,Impatiens glandulifera,eq
Jacobaea vulgaris,,Plant,Streptophyta,Magnoliopsida,Asterales,Jacobaea vulgaris,eq
Jadera haematoloma,,Arthropod,Arthropoda,Insecta,Hemiptera,Jadera haematoloma,eq
Junco hyemalis,Dark-eyed Juncos,Bird,Chordata,Aves,Passeriformes,Junco hyemalis,eq
Jynx torquilla,,Bird,Chordata,Aves,Piciformes,Jynx torquilla,eq
Koeleria cristata,,Plant,Streptophyta,Magnoliopsida,Poales,Koeleria pyramidata,not_eq
Koeleria micrantha,,Plant,Streptophyta,Magnoliopsida,Poales,Koeleria macrantha,not_eq
Labidesthes sicculus,,Fish,Chordata,Actinopteri,Atheriniformes,Labidesthes sicculus,eq
Lactuca muralis,,Plant,Streptophyta,Magnoliopsida,Asterales,Cicerbita muralis,not_eq
Lactuca serriola,,Plant,Streptophyta,Magnoliopsida,Asterales,Lactuca serriola,eq
Lanius collurio,Red-backed Shrike,Bird,Chordata,Aves,Passeriformes,Lanius collurio,eq
Larus audouinii,,Bird,Chordata,Aves,Charadriiformes,Ichthyaetus audouinii,not_eq
Lemmus trimucronatus nigripes,,Mammal,Chordata,Mammalia,Rodentia,Lemmus trimucronatus,not_eq
Lepidium draba,,Plant,Streptophyta,Magnoliopsida,Brassicales,Lepidium draba,eq
Lepomis gibbosus,,Fish,Chordata,Actinopteri,Centrarchiformes,Lepomis gibbosus,eq
Lepomis macrochirus,,Fish,Chordata,Actinopteri,Centrarchiformes,Lepomis macrochirus,eq
Leptocoris tagalicus,,Arthropod,Arthropoda,Insecta,Hemiptera,Leptocoris tagalicus,eq
Lespedeza cuneata,,Plant,Streptophyta,Magnoliopsida,Fabales,Lespedeza cuneata,eq
Limnodrilus hoffmeisteri,,Annelid,Annelida,Clitellata,Tubificida,Limnodrilus hoffmeisteri,eq
Littorina obtusata,,Mollusc,Mollusca,Gastropoda,Littorinimorpha,Littorina obtusata,eq
Locustella fluviatilis,,Bird,Chordata,Aves,Passeriformes,Locustella fluviatilis,eq
Locustella naevia,,Bird,Chordata,Aves,Passeriformes,Locustella naevia,eq
Lolium multiflorum,,Plant,Streptophyta,Magnoliopsida,Poales,Lolium multiflorum,eq
Lolium perenne,,Plant,Streptophyta,Magnoliopsida,Poales,Lolium perenne,eq
Lolium rigidum,,Plant,Streptophyta,Magnoliopsida,Poales,Lolium rigidum,eq
Lophuromys flavopunctatus zena,,Mammal,Chordata,Mammalia,Rodentia,Lophuromys flavopunctatus,not_eq
Lotus purshianus,,Plant,Streptophyta,Magnoliopsida,Fabales,Acmispon americanus,not_eq
Lotus wrangelianus,,Plant,Streptophyta,Magnoliopsida,Fabales,Acmispon wrangelianus,not_eq
Loxia curvirostra,,Bird,Chordata,Aves,Passeriformes,Loxia curvirostra,eq
Lullula arborea,,Bird,Chordata,Aves,Passeriformes,Lullula arborea,eq
Lupinus bicolor,,Plant,Streptophyta,Magnoliopsida,Fabales,Lupinus bicolor,eq
Luscinia megarhynchos,,Bird,Chordata,Aves,Passeriformes,Luscinia megarhynchos,eq
Lynx canadensis,,Mammal,Chordata,Mammalia,Carnivora,Lynx canadensis,eq
Lythrum salicaria,,Plant,Streptophyta,Magnoliopsida,Myrtales,Lythrum salicaria,eq
Macropus giganteus,,Mammal,Chordata,Mammalia,Diprodontia,Macropus giganteus,eq
Macropus rufogriseus,,Mammal,Chordata,Mammalia,Diprodontia,Notamacropus rufogriseus,not_eq
Malaclemys terrapin,,Reptile,Chordata,Archelosauria,Testudines,Malaclemys terrapin,eq
Malus domestica,,Plant,Streptophyta,Magnoliopsida,Rosales,Malus domestica,eq
Martes americana,,Mammal,Chordata,Mammalia,Carnivora,Martes americana,eq
Martes foina,,Mammal,Chordata,Mammalia,Carnivora,Martes foina,eq
Martes martes,,Mammal,Chordata,Mammalia,Carnivora,Martes martes,eq
Martes melampus,,Mammal,Chordata,Mammalia,Carnivora,Martes melampus,eq
